courtsMask,matchNr,maptitle,teamA,teamB,teamAPoints,teamBPoints,teamAPointsHalfTime,teamBPointsHalfTime,matchCompleted,mvp,winner,EventDate,EventTimeRange,EventId
2,1,Warehouse 2 (groß),,,5,5,1,4,1,Homunkulus,Draw,"Freitag, 23. Mai 2025",18:30 - 20:30,2025_09_22_01
2,2,Chinatown,,,5,5,2,3,1,Homunkulus,Draw,"Freitag, 23. Mai 2025",18:30 - 20:30,2025_09_22_01
2,3,Metro,,,6,2,5,0,1,Commodus,A,"Freitag, 23. Mai 2025",18:30 - 20:30,2025_09_22_01
2,4,Poolday,,,6,4,4,1,1,Homunkulus,A,"Freitag, 23. Mai 2025",18:30 - 20:30,2025_09_22_01
2,5,Warehouse 1 (klein),,,4,0,4,0,0,DrSnuggles,A,"Freitag, 23. Mai 2025",18:30 - 20:30,2025_09_22_01
2,1,Poolday,,,6,1,4,1,1,Commodus,A,"Sonntag, 21. September 2025",14:30 - 18:30,2025_09_24_01
2,2,Cargo,,,6,3,3,2,1,DrSnuggles,A,"Sonntag, 21. September 2025",14:30 - 18:30,2025_09_24_01
2,3,Metro,,,6,2,4,1,1,Commodus,A,"Sonntag, 21. September 2025",14:30 - 18:30,2025_09_24_01
2,4,Chinatown,,,6,4,2,3,1,DrSnuggles,A,"Sonntag, 21. September 2025",14:30 - 18:30,2025_09_24_01
2,5,Warehouse 2 (groß),,,6,2,4,1,1,GRIS,A,"Sonntag, 21. September 2025",14:30 - 18:30,2025_09_24_01
2,6,Warehouse 1 (klein),,,5,5,1,4,1,Commodus,Draw,"Sonntag, 21. September 2025",14:30 - 18:30,2025_09_24_01
2,7,Cargo,,,6,4,3,2,1,AndiOstfront,A,"Sonntag, 21. September 2025",14:30 - 18:30,2025_09_24_01
2,8,Chinatown,,,6,4,4,1,1,Commodus,A,"Sonntag, 21. September 2025",14:30 - 18:30,2025_09_24_01
2,9,Metro,,,6,2,5,0,1,DrSnuggles,A,"Sonntag, 21. September 2025",14:30 - 18:30,2025_09_24_01
2,10,Warehouse 1 (klein),,,3,1,3,1,0,GRIS,A,"Sonntag, 21. September 2025",14:30 - 18:30,2025_09_24_01
1,1,Metro,,,5,5,5,0,1,Stephan,Draw,"Freitag, 3. Jänner 2025",14:30 - 18:30,2025_09_25_01
1,2,Warehouse 1 (klein),,,6,3,4,1,1,Ralph,A,"Freitag, 3. Jänner 2025",14:30 - 18:30,2025_09_25_01
1,3,Poolday,,,6,1,4,1,1,Ralph,A,"Freitag, 3. Jänner 2025",14:30 - 18:30,2025_09_25_01
1,4,Warehouse 2 (groß),,,6,1,4,1,1,Specki,A,"Freitag, 3. Jänner 2025",14:30 - 18:30,2025_09_25_01
1,5,Chinatown,,,6,3,4,1,1,Andi,A,"Freitag, 3. Jänner 2025",14:30 - 18:30,2025_09_25_01
1,6,Warehouse 2 (groß),,,6,4,3,2,1,Ralph,A,"Freitag, 3. Jänner 2025",14:30 - 18:30,2025_09_25_01
1,7,Metro,,,6,3,4,1,1,Vidibus,A,"Freitag, 3. Jänner 2025",14:30 - 18:30,2025_09_25_01
1,8,Chinatown,,,6,2,4,1,1,Andi,A,"Freitag, 3. Jänner 2025",14:30 - 18:30,2025_09_25_01
1,9,Poolday,,,6,1,4,1,1,Ralph,A,"Freitag, 3. Jänner 2025",14:30 - 18:30,2025_09_25_01
1,10,Warehouse 1 (klein),,,4,2,3,2,0,Nagla,A,"Freitag, 3. Jänner 2025",14:30 - 18:30,2025_09_25_01
2,1,Warehouse 1 (klein),,,6,1,5,0,1,Wildes_Pony,A,"Dienstag, 8. April 2025",16:30 - 18:30,2025_09_25_02
2,2,Chinatown,,,6,2,4,1,1,Chris_P_Bacon,A,"Dienstag, 8. April 2025",16:30 - 18:30,2025_09_25_02
2,3,Metro,,,6,3,3,2,1,Lindner,A,"Dienstag, 8. April 2025",16:30 - 18:30,2025_09_25_02
2,4,Poolday,,,6,4,2,3,1,Deibiddo_bakka,A,"Dienstag, 8. April 2025",16:30 - 18:30,2025_09_25_02
2,5,Warehouse 2 (groß),,,5,4,2,3,0,Chris_P_Bacon,A,"Dienstag, 8. April 2025",16:30 - 18:30,2025_09_25_02
1,1,Warehouse 2 (groß),,,6,3,3,2,1,Jenny_Talia,A,"Dienstag, 15. April 2025",16:30 - 18:30,2025_09_25_03
1,2,Metro,,,6,1,4,1,1,Dixie_Normous,A,"Dienstag, 15. April 2025",16:30 - 18:30,2025_09_25_03
1,3,Poolday,,,6,1,4,1,1,Consuela,A,"Dienstag, 15. April 2025",16:30 - 18:30,2025_09_25_03
1,4,Chinatown,,,6,4,3,2,1,Jenny_Talia,A,"Dienstag, 15. April 2025",16:30 - 18:30,2025_09_25_03
1,5,Warehouse 1 (klein),,,6,0,5,0,1,Jenny_Talia,A,"Dienstag, 15. April 2025",16:30 - 18:30,2025_09_25_03
1,6,Poolday,,,2,0,2,0,0,Chris,A,"Dienstag, 15. April 2025",16:30 - 18:30,2025_09_25_03
2,1,Warehouse 1 (klein),,,6,1,5,0,1,Wildes_Pony,A,"Dienstag, 8. April 2025",16:30 - 18:30,2025_12_26_01
2,2,Chinatown,,,6,2,4,1,1,Chris_P_Bacon,A,"Dienstag, 8. April 2025",16:30 - 18:30,2025_12_26_01
2,3,Metro,,,6,3,3,2,1,Lindner,A,"Dienstag, 8. April 2025",16:30 - 18:30,2025_12_26_01
2,4,Poolday,,,6,4,2,3,1,Deibiddo_bakka,A,"Dienstag, 8. April 2025",16:30 - 18:30,2025_12_26_01
2,5,Warehouse 2 (groß),,,5,4,2,3,0,Chris_P_Bacon,A,"Dienstag, 8. April 2025",16:30 - 18:30,2025_12_26_01
2,1,Warehouse 1 (klein),,,6,1,5,0,1,Wildes_Pony,A,"Dienstag, 8. April 2025",16:30 - 18:30,2025_12_26_02
2,2,Chinatown,,,6,2,4,1,1,Chris_P_Bacon,A,"Dienstag, 8. April 2025",16:30 - 18:30,2025_12_26_02
2,3,Metro,,,6,3,3,2,1,Lindner,A,"Dienstag, 8. April 2025",16:30 - 18:30,2025_12_26_02
2,4,Poolday,,,6,4,2,3,1,Deibiddo_bakka,A,"Dienstag, 8. April 2025",16:30 - 18:30,2025_12_26_02
2,5,Warehouse 2 (groß),,,5,4,2,3,0,Chris_P_Bacon,A,"Dienstag, 8. April 2025",16:30 - 18:30,2025_12_26_02
